Unidades de medida;Países y Continentes;Tipo de transporte según destino;Tipo de dato;Periodo;Total
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2012;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2011;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2010;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2021;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2020;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2019;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2018;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2017;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2016;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2015;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2014;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2013;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2012;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2011;""
Viajeros;Desconocido;Entradas internacionales de España;Variación anual;2010;""
