Continente y país de destino;Continente y país de destino;Continente y país de destino;Continente y país de destino;Concepto turístico;Periodo;Total
Total;África;Senegal;;Pernoctaciones;2022M06;4.910
Total;África;Senegal;;Pernoctaciones;2022M05;4.097
Total;África;Senegal;;Pernoctaciones;2022M04;6.112
Total;África;Senegal;;Pernoctaciones;2022M03;5.938
Total;África;Senegal;;Pernoctaciones;2022M02;4.661
Total;África;Senegal;;Pernoctaciones;2022M01;6.796
Total;África;Senegal;;Pernoctaciones;2021M12;6.654
Total;África;Senegal;;Pernoctaciones;2021M11;6.301
Total;África;Senegal;;Pernoctaciones;2021M10;4.830
Total;África;Senegal;;Pernoctaciones;2021M09;4.196
Total;África;Senegal;;Pernoctaciones;2021M08;4.609
Total;África;Senegal;;Pernoctaciones;2021M07;3.682
Total;África;Senegal;;Pernoctaciones;2021M06;3.297
Total;África;Senegal;;Pernoctaciones;2021M05;2.284
Total;África;Senegal;;Pernoctaciones;2021M04;.
Total;África;Senegal;;Pernoctaciones;2021M03;2.797
Total;África;Senegal;;Pernoctaciones;2021M02;1.972
Total;África;Senegal;;Pernoctaciones;2021M01;.
Total;África;Senegal;;Pernoctaciones;2020M12;3.414
Total;África;Senegal;;Pernoctaciones;2020M11;3.956
Total;África;Senegal;;Pernoctaciones;2020M10;2.566
Total;África;Senegal;;Pernoctaciones;2020M09;1.350
Total;África;Senegal;;Pernoctaciones;2020M08;1.763
Total;África;Senegal;;Pernoctaciones;2020M07;1.248
Total;África;Senegal;;Pernoctaciones;2020M06;.
Total;África;Senegal;;Pernoctaciones;2020M05;.
Total;África;Senegal;;Pernoctaciones;2020M04;.
Total;África;Senegal;;Pernoctaciones;2020M03;5.499
Total;África;Senegal;;Pernoctaciones;2020M02;8.197
Total;África;Senegal;;Pernoctaciones;2020M01;11.007
Total;África;Senegal;;Pernoctaciones;2019M12;9.770
Total;África;Senegal;;Pernoctaciones;2019M11;8.334
Total;África;Senegal;;Pernoctaciones;2019M10;5.216
Total;África;Senegal;;Pernoctaciones;2019M09;5.622
Total;África;Senegal;;Pernoctaciones;2019M08;9.623
Total;África;Senegal;;Pernoctaciones;2019M07;5.001
Total;África;Senegal;;Duración media de los viajes;2023M04;7,2
Total;África;Senegal;;Duración media de los viajes;2023M03;7,1
Total;África;Senegal;;Duración media de los viajes;2023M02;7,5
Total;África;Senegal;;Duración media de los viajes;2023M01;7,9
Total;África;Senegal;;Duración media de los viajes;2022M12;7
Total;África;Senegal;;Duración media de los viajes;2022M11;7,4
Total;África;Senegal;;Duración media de los viajes;2022M10;7,1
Total;África;Senegal;;Duración media de los viajes;2022M09;7,5
Total;África;Senegal;;Duración media de los viajes;2022M08;9
Total;África;Senegal;;Duración media de los viajes;2022M07;7,8
Total;África;Senegal;;Duración media de los viajes;2022M06;5,8
Total;África;Senegal;;Duración media de los viajes;2022M05;6,2
Total;África;Senegal;;Duración media de los viajes;2022M04;7,5
Total;África;Senegal;;Duración media de los viajes;2022M03;6,4
Total;África;Senegal;;Duración media de los viajes;2022M02;6,5
Total;África;Senegal;;Duración media de los viajes;2022M01;7,8
Total;África;Senegal;;Duración media de los viajes;2021M12;6,6
Total;África;Senegal;;Duración media de los viajes;2021M11;6,9
Total;África;Senegal;;Duración media de los viajes;2021M10;6,6
Total;África;Senegal;;Duración media de los viajes;2021M09;6,5
Total;África;Senegal;;Duración media de los viajes;2021M08;7,9
Total;África;Senegal;;Duración media de los viajes;2021M07;6,3
Total;África;Senegal;;Duración media de los viajes;2021M06;7,2
Total;África;Senegal;;Duración media de los viajes;2021M05;6
Total;África;Senegal;;Duración media de los viajes;2021M04;.
Total;África;Senegal;;Duración media de los viajes;2021M03;6,6
Total;África;Senegal;;Duración media de los viajes;2021M02;5,9
Total;África;Senegal;;Duración media de los viajes;2021M01;.
Total;África;Senegal;;Duración media de los viajes;2020M12;7
Total;África;Senegal;;Duración media de los viajes;2020M11;8,9
Total;África;Senegal;;Duración media de los viajes;2020M10;7,3
Total;África;Senegal;;Duración media de los viajes;2020M09;6,3
Total;África;Senegal;;Duración media de los viajes;2020M08;8,9
Total;África;Senegal;;Duración media de los viajes;2020M07;7,2
Total;África;Senegal;;Duración media de los viajes;2020M06;.
Total;África;Senegal;;Duración media de los viajes;2020M05;.
Total;África;Senegal;;Duración media de los viajes;2020M04;.
Total;África;Senegal;;Duración media de los viajes;2020M03;8,2
Total;África;Senegal;;Duración media de los viajes;2020M02;7,8
Total;África;Senegal;;Duración media de los viajes;2020M01;7,9
Total;África;Senegal;;Duración media de los viajes;2019M12;8,1
Total;África;Senegal;;Duración media de los viajes;2019M11;7,8
Total;África;Senegal;;Duración media de los viajes;2019M10;6,6
Total;África;Senegal;;Duración media de los viajes;2019M09;8,3
Total;África;Senegal;;Duración media de los viajes;2019M08;9,2
Total;África;Senegal;;Duración media de los viajes;2019M07;7,3
Total;África;Seychelles;;Turistas;2023M04;186
Total;África;Seychelles;;Turistas;2023M03;141
Total;África;Seychelles;;Turistas;2023M02;85
Total;África;Seychelles;;Turistas;2023M01;151
Total;África;Seychelles;;Turistas;2022M12;149
Total;África;Seychelles;;Turistas;2022M11;129
Total;África;Seychelles;;Turistas;2022M10;131
Total;África;Seychelles;;Turistas;2022M09;176
Total;África;Seychelles;;Turistas;2022M08;203
Total;África;Seychelles;;Turistas;2022M07;193
Total;África;Seychelles;;Turistas;2022M06;100
Total;África;Seychelles;;Turistas;2022M05;104
Total;África;Seychelles;;Turistas;2022M04;159
Total;África;Seychelles;;Turistas;2022M03;91
Total;África;Seychelles;;Turistas;2022M02;61
Total;África;Seychelles;;Turistas;2022M01;72
Total;África;Seychelles;;Turistas;2021M12;102
Total;África;Seychelles;;Turistas;2021M11;134
Total;África;Seychelles;;Turistas;2021M10;198
Total;África;Seychelles;;Turistas;2021M09;193
Total;África;Seychelles;;Turistas;2021M08;427
Total;África;Seychelles;;Turistas;2021M07;136
Total;África;Seychelles;;Turistas;2021M06;96
Total;África;Seychelles;;Turistas;2021M05;72
Total;África;Seychelles;;Turistas;2021M04;106
Total;África;Seychelles;;Turistas;2021M03;.
Total;África;Seychelles;;Turistas;2021M02;.
Total;África;Seychelles;;Turistas;2021M01;.
Total;África;Seychelles;;Turistas;2020M12;.
Total;África;Seychelles;;Turistas;2020M11;.
Total;África;Seychelles;;Turistas;2020M10;.
Total;África;Seychelles;;Turistas;2020M09;.
Total;África;Seychelles;;Turistas;2020M08;.
Total;África;Seychelles;;Turistas;2020M07;.
Total;África;Seychelles;;Turistas;2020M06;.
Total;África;Seychelles;;Turistas;2020M05;.
Total;África;Seychelles;;Turistas;2020M04;.
Total;África;Seychelles;;Turistas;2020M03;85
Total;África;Seychelles;;Turistas;2020M02;92
Total;África;Seychelles;;Turistas;2020M01;173
Total;África;Seychelles;;Turistas;2019M12;99
Total;África;Seychelles;;Turistas;2019M11;86
Total;África;Seychelles;;Turistas;2019M10;122
Total;África;Seychelles;;Turistas;2019M09;124
Total;África;Seychelles;;Turistas;2019M08;352
Total;África;Seychelles;;Turistas;2019M07;232
Total;África;Seychelles;;Pernoctaciones;2023M04;1.434
Total;África;Seychelles;;Pernoctaciones;2023M03;1.128
Total;África;Seychelles;;Pernoctaciones;2023M02;688
Total;África;Seychelles;;Pernoctaciones;2023M01;894
Total;África;Seychelles;;Pernoctaciones;2022M12;1.409
Total;África;Seychelles;;Pernoctaciones;2022M11;1.204
Total;África;Seychelles;;Pernoctaciones;2022M10;1.008
Total;África;Seychelles;;Pernoctaciones;2022M09;1.202
Total;África;Seychelles;;Pernoctaciones;2022M08;1.965
Total;África;Seychelles;;Pernoctaciones;2022M07;1.786
Total;África;Seychelles;;Pernoctaciones;2022M06;768
Total;África;Seychelles;;Pernoctaciones;2022M05;691
Total;África;Seychelles;;Pernoctaciones;2022M04;1.192
Total;África;Seychelles;;Pernoctaciones;2022M03;608
Total;África;Seychelles;;Pernoctaciones;2022M02;575
Total;África;Seychelles;;Pernoctaciones;2022M01;572
Total;África;Seychelles;;Pernoctaciones;2021M12;1.168
Total;África;Seychelles;;Pernoctaciones;2021M11;1.335
Total;África;Seychelles;;Pernoctaciones;2021M10;1.618
Total;África;Seychelles;;Pernoctaciones;2021M09;1.594
Total;África;Seychelles;;Pernoctaciones;2021M08;3.827
Total;África;Seychelles;;Pernoctaciones;2021M07;958
Total;África;Seychelles;;Pernoctaciones;2021M06;812
Total;África;Seychelles;;Pernoctaciones;2021M05;583
Total;África;Seychelles;;Pernoctaciones;2021M04;768
Total;África;Seychelles;;Pernoctaciones;2021M03;.
Total;África;Seychelles;;Pernoctaciones;2021M02;.
Total;África;Seychelles;;Pernoctaciones;2021M01;.
Total;África;Seychelles;;Pernoctaciones;2020M12;.
Total;África;Seychelles;;Pernoctaciones;2020M11;.
Total;África;Seychelles;;Pernoctaciones;2020M10;.
Total;África;Seychelles;;Pernoctaciones;2020M09;.
Total;África;Seychelles;;Pernoctaciones;2020M08;.
Total;África;Seychelles;;Pernoctaciones;2020M07;.
Total;África;Seychelles;;Pernoctaciones;2020M06;.
Total;África;Seychelles;;Pernoctaciones;2020M05;.
Total;África;Seychelles;;Pernoctaciones;2020M04;.
Total;África;Seychelles;;Pernoctaciones;2020M03;676
Total;África;Seychelles;;Pernoctaciones;2020M02;807
Total;África;Seychelles;;Pernoctaciones;2020M01;1.614
Total;África;Seychelles;;Pernoctaciones;2019M12;1.107
Total;África;Seychelles;;Pernoctaciones;2019M11;800
Total;África;Seychelles;;Pernoctaciones;2019M10;1.311
Total;África;Seychelles;;Pernoctaciones;2019M09;1.290
Total;África;Seychelles;;Pernoctaciones;2019M08;4.198
Total;África;Seychelles;;Pernoctaciones;2019M07;2.081
Total;África;Seychelles;;Duración media de los viajes;2023M04;7,7
Total;África;Seychelles;;Duración media de los viajes;2023M03;8
Total;África;Seychelles;;Duración media de los viajes;2023M02;8,1
Total;África;Seychelles;;Duración media de los viajes;2023M01;5,9
Total;África;Seychelles;;Duración media de los viajes;2022M12;9,5
Total;África;Seychelles;;Duración media de los viajes;2022M11;9,3
Total;África;Seychelles;;Duración media de los viajes;2022M10;7,7
Total;África;Seychelles;;Duración media de los viajes;2022M09;6,8
Total;África;Seychelles;;Duración media de los viajes;2022M08;9,7
Total;África;Seychelles;;Duración media de los viajes;2022M07;9,3
Total;África;Seychelles;;Duración media de los viajes;2022M06;7,7
Total;África;Seychelles;;Duración media de los viajes;2022M05;6,6
Total;África;Seychelles;;Duración media de los viajes;2022M04;7,5
Total;África;Seychelles;;Duración media de los viajes;2022M03;6,7
Total;África;Seychelles;;Duración media de los viajes;2022M02;9,4
Total;África;Seychelles;;Duración media de los viajes;2022M01;7,9
Total;África;Seychelles;;Duración media de los viajes;2021M12;11,5
Total;África;Seychelles;;Duración media de los viajes;2021M11;10
Total;África;Seychelles;;Duración media de los viajes;2021M10;8,2
Total;África;Seychelles;;Duración media de los viajes;2021M09;8,3
Total;África;Seychelles;;Duración media de los viajes;2021M08;9
Total;África;Seychelles;;Duración media de los viajes;2021M07;7
Total;África;Seychelles;;Duración media de los viajes;2021M06;8,5
Total;África;Seychelles;;Duración media de los viajes;2021M05;8,1
Total;África;Seychelles;;Duración media de los viajes;2021M04;7,2
Total;África;Seychelles;;Duración media de los viajes;2021M03;.
Total;África;Seychelles;;Duración media de los viajes;2021M02;.
Total;África;Seychelles;;Duración media de los viajes;2021M01;.
Total;África;Seychelles;;Duración media de los viajes;2020M12;.
Total;África;Seychelles;;Duración media de los viajes;2020M11;.
Total;África;Seychelles;;Duración media de los viajes;2020M10;.
Total;África;Seychelles;;Duración media de los viajes;2020M09;.
Total;África;Seychelles;;Duración media de los viajes;2020M08;.
Total;África;Seychelles;;Duración media de los viajes;2020M07;.
Total;África;Seychelles;;Duración media de los viajes;2020M06;.
Total;África;Seychelles;;Duración media de los viajes;2020M05;.
Total;África;Seychelles;;Duración media de los viajes;2020M04;.
Total;África;Seychelles;;Duración media de los viajes;2020M03;8
Total;África;Seychelles;;Duración media de los viajes;2020M02;8,8
Total;África;Seychelles;;Duración media de los viajes;2020M01;9,3
Total;África;Seychelles;;Duración media de los viajes;2019M12;11,2
Total;África;Seychelles;;Duración media de los viajes;2019M11;9,3
Total;África;Seychelles;;Duración media de los viajes;2019M10;10,7
Total;África;Seychelles;;Duración media de los viajes;2019M09;10,4
Total;África;Seychelles;;Duración media de los viajes;2019M08;11,9
Total;África;Seychelles;;Duración media de los viajes;2019M07;9
Total;África;Sierra Leona;;Turistas;2023M04;.
Total;África;Sierra Leona;;Turistas;2023M03;.
Total;África;Sierra Leona;;Turistas;2023M02;.
Total;África;Sierra Leona;;Turistas;2023M01;.
Total;África;Sierra Leona;;Turistas;2022M12;.
Total;África;Sierra Leona;;Turistas;2022M11;.
Total;África;Sierra Leona;;Turistas;2022M10;.
Total;África;Sierra Leona;;Turistas;2022M09;.
Total;África;Sierra Leona;;Turistas;2022M08;.
Total;África;Sierra Leona;;Turistas;2022M07;.
Total;África;Sierra Leona;;Turistas;2022M06;.
Total;África;Sierra Leona;;Turistas;2022M05;.
Total;África;Sierra Leona;;Turistas;2022M04;.
Total;África;Sierra Leona;;Turistas;2022M03;.
Total;África;Sierra Leona;;Turistas;2022M02;.
Total;África;Sierra Leona;;Turistas;2022M01;.
Total;África;Sierra Leona;;Turistas;2021M12;.
Total;África;Sierra Leona;;Turistas;2021M11;.
Total;África;Sierra Leona;;Turistas;2021M10;.
Total;África;Sierra Leona;;Turistas;2021M09;.
Total;África;Sierra Leona;;Turistas;2021M08;.
Total;África;Sierra Leona;;Turistas;2021M07;.
Total;África;Sierra Leona;;Turistas;2021M06;.
Total;África;Sierra Leona;;Turistas;2021M05;.
Total;África;Sierra Leona;;Turistas;2021M04;.
Total;África;Sierra Leona;;Turistas;2021M03;.
Total;África;Sierra Leona;;Turistas;2021M02;.
Total;África;Sierra Leona;;Turistas;2021M01;.
Total;África;Sierra Leona;;Turistas;2020M12;.
Total;África;Sierra Leona;;Turistas;2020M11;.
Total;África;Sierra Leona;;Turistas;2020M10;.
Total;África;Sierra Leona;;Turistas;2020M09;.
Total;África;Sierra Leona;;Turistas;2020M08;.
Total;África;Sierra Leona;;Turistas;2020M07;.
Total;África;Sierra Leona;;Turistas;2020M06;.
Total;África;Sierra Leona;;Turistas;2020M05;.
Total;África;Sierra Leona;;Turistas;2020M04;.
Total;África;Sierra Leona;;Turistas;2020M03;.
Total;África;Sierra Leona;;Turistas;2020M02;35
Total;África;Sierra Leona;;Turistas;2020M01;.
Total;África;Sierra Leona;;Turistas;2019M12;.
Total;África;Sierra Leona;;Turistas;2019M11;.
Total;África;Sierra Leona;;Turistas;2019M10;.
Total;África;Sierra Leona;;Turistas;2019M09;.
Total;África;Sierra Leona;;Turistas;2019M08;57
Total;África;Sierra Leona;;Turistas;2019M07;.
Total;África;Sierra Leona;;Pernoctaciones;2023M04;.
Total;África;Sierra Leona;;Pernoctaciones;2023M03;.
Total;África;Sierra Leona;;Pernoctaciones;2023M02;.
Total;África;Sierra Leona;;Pernoctaciones;2023M01;.
Total;África;Sierra Leona;;Pernoctaciones;2022M12;.
Total;África;Sierra Leona;;Pernoctaciones;2022M11;.
Total;África;Sierra Leona;;Pernoctaciones;2022M10;.
Total;África;Sierra Leona;;Pernoctaciones;2022M09;.
Total;África;Sierra Leona;;Pernoctaciones;2022M08;.
Total;África;Sierra Leona;;Pernoctaciones;2022M07;.
Total;África;Sierra Leona;;Pernoctaciones;2022M06;.
Total;África;Sierra Leona;;Pernoctaciones;2022M05;.
Total;África;Sierra Leona;;Pernoctaciones;2022M04;.
Total;África;Sierra Leona;;Pernoctaciones;2022M03;.
Total;África;Sierra Leona;;Pernoctaciones;2022M02;.
Total;África;Sierra Leona;;Pernoctaciones;2022M01;.
Total;África;Sierra Leona;;Pernoctaciones;2021M12;.
Total;África;Sierra Leona;;Pernoctaciones;2021M11;.
Total;África;Sierra Leona;;Pernoctaciones;2021M10;.
Total;África;Sierra Leona;;Pernoctaciones;2021M09;.
Total;África;Sierra Leona;;Pernoctaciones;2021M08;.
Total;África;Sierra Leona;;Pernoctaciones;2021M07;.
Total;África;Sierra Leona;;Pernoctaciones;2021M06;.
Total;África;Sierra Leona;;Pernoctaciones;2021M05;.
Total;África;Sierra Leona;;Pernoctaciones;2021M04;.
Total;África;Sierra Leona;;Pernoctaciones;2021M03;.
Total;África;Sierra Leona;;Pernoctaciones;2021M02;.
Total;África;Sierra Leona;;Pernoctaciones;2021M01;.
Total;África;Sierra Leona;;Pernoctaciones;2020M12;.
Total;África;Sierra Leona;;Pernoctaciones;2020M11;.
Total;África;Sierra Leona;;Pernoctaciones;2020M10;.
Total;África;Sierra Leona;;Pernoctaciones;2020M09;.
Total;África;Sierra Leona;;Pernoctaciones;2020M08;.
Total;África;Sierra Leona;;Pernoctaciones;2020M07;.
Total;África;Sierra Leona;;Pernoctaciones;2020M06;.
Total;África;Sierra Leona;;Pernoctaciones;2020M05;.
Total;África;Sierra Leona;;Pernoctaciones;2020M04;.
Total;África;Sierra Leona;;Pernoctaciones;2020M03;.
Total;África;Sierra Leona;;Pernoctaciones;2020M02;280
Total;África;Sierra Leona;;Pernoctaciones;2020M01;.
Total;África;Sierra Leona;;Pernoctaciones;2019M12;.
Total;África;Sierra Leona;;Pernoctaciones;2019M11;.
Total;África;Sierra Leona;;Pernoctaciones;2019M10;.
Total;África;Sierra Leona;;Pernoctaciones;2019M09;.
Total;África;Sierra Leona;;Pernoctaciones;2019M08;677
Total;África;Sierra Leona;;Pernoctaciones;2019M07;.
Total;África;Sierra Leona;;Duración media de los viajes;2023M04;.
Total;África;Sierra Leona;;Duración media de los viajes;2023M03;.
Total;África;Sierra Leona;;Duración media de los viajes;2023M02;.
Total;África;Sierra Leona;;Duración media de los viajes;2023M01;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M12;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M11;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M10;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M09;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M08;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M07;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M06;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M05;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M04;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M03;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M02;.
Total;África;Sierra Leona;;Duración media de los viajes;2022M01;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M12;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M11;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M10;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M09;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M08;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M07;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M06;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M05;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M04;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M03;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M02;.
Total;África;Sierra Leona;;Duración media de los viajes;2021M01;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M12;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M11;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M10;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M09;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M08;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M07;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M06;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M05;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M04;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M03;.
Total;África;Sierra Leona;;Duración media de los viajes;2020M02;8
Total;África;Sierra Leona;;Duración media de los viajes;2020M01;.
Total;África;Sierra Leona;;Duración media de los viajes;2019M12;.
Total;África;Sierra Leona;;Duración media de los viajes;2019M11;.
Total;África;Sierra Leona;;Duración media de los viajes;2019M10;.
Total;África;Sierra Leona;;Duración media de los viajes;2019M09;.
Total;África;Sierra Leona;;Duración media de los viajes;2019M08;11,9
Total;África;Sierra Leona;;Duración media de los viajes;2019M07;.
Total;África;Somalia;;Turistas;2023M04;.
Total;África;Somalia;;Turistas;2023M03;.
Total;África;Somalia;;Turistas;2023M02;.
Total;África;Somalia;;Turistas;2023M01;.
Total;África;Somalia;;Turistas;2022M12;.
Total;África;Somalia;;Turistas;2022M11;.
Total;África;Somalia;;Turistas;2022M10;.
Total;África;Somalia;;Turistas;2022M09;.
Total;África;Somalia;;Turistas;2022M08;.
Total;África;Somalia;;Turistas;2022M07;.
Total;África;Somalia;;Turistas;2022M06;.
Total;África;Somalia;;Turistas;2022M05;.
Total;África;Somalia;;Turistas;2022M04;.
Total;África;Somalia;;Turistas;2022M03;.
Total;África;Somalia;;Turistas;2022M02;.
Total;África;Somalia;;Turistas;2022M01;.
Total;África;Somalia;;Turistas;2021M12;.
Total;África;Somalia;;Turistas;2021M11;.
Total;África;Somalia;;Turistas;2021M10;.
Total;África;Somalia;;Turistas;2021M09;.
Total;África;Somalia;;Turistas;2021M08;.
Total;África;Somalia;;Turistas;2021M07;.
Total;África;Somalia;;Turistas;2021M06;.
Total;África;Somalia;;Turistas;2021M05;.
Total;África;Somalia;;Turistas;2021M04;.
Total;África;Somalia;;Turistas;2021M03;.
Total;África;Somalia;;Turistas;2021M02;.
Total;África;Somalia;;Turistas;2021M01;.
Total;África;Somalia;;Turistas;2020M12;.
Total;África;Somalia;;Turistas;2020M11;.
Total;África;Somalia;;Turistas;2020M10;.
Total;África;Somalia;;Turistas;2020M09;.
Total;África;Somalia;;Turistas;2020M08;.
Total;África;Somalia;;Turistas;2020M07;.
Total;África;Somalia;;Turistas;2020M06;.
Total;África;Somalia;;Turistas;2020M05;.
Total;África;Somalia;;Turistas;2020M04;.
Total;África;Somalia;;Turistas;2020M03;.
Total;África;Somalia;;Turistas;2020M02;.
Total;África;Somalia;;Turistas;2020M01;.
Total;África;Somalia;;Turistas;2019M12;.
Total;África;Somalia;;Turistas;2019M11;.
Total;África;Somalia;;Turistas;2019M10;.
Total;África;Somalia;;Turistas;2019M09;.
Total;África;Somalia;;Turistas;2019M08;.
Total;África;Somalia;;Turistas;2019M07;.
Total;África;Somalia;;Pernoctaciones;2023M04;.
Total;África;Somalia;;Pernoctaciones;2023M03;.
Total;África;Somalia;;Pernoctaciones;2023M02;.
Total;África;Somalia;;Pernoctaciones;2023M01;.
Total;África;Somalia;;Pernoctaciones;2022M12;.
Total;África;Somalia;;Pernoctaciones;2022M11;.
Total;África;Somalia;;Pernoctaciones;2022M10;.
Total;África;Somalia;;Pernoctaciones;2022M09;.
Total;África;Somalia;;Pernoctaciones;2022M08;.
Total;África;Somalia;;Pernoctaciones;2022M07;.
Total;África;Somalia;;Pernoctaciones;2022M06;.
Total;África;Somalia;;Pernoctaciones;2022M05;.
Total;África;Somalia;;Pernoctaciones;2022M04;.
Total;África;Somalia;;Pernoctaciones;2022M03;.
Total;África;Somalia;;Pernoctaciones;2022M02;.
Total;África;Somalia;;Pernoctaciones;2022M01;.
Total;África;Somalia;;Pernoctaciones;2021M12;.
Total;África;Somalia;;Pernoctaciones;2021M11;.
Total;África;Somalia;;Pernoctaciones;2021M10;.
Total;África;Somalia;;Pernoctaciones;2021M09;.
Total;África;Somalia;;Pernoctaciones;2021M08;.
Total;África;Somalia;;Pernoctaciones;2021M07;.
Total;África;Somalia;;Pernoctaciones;2021M06;.
Total;África;Somalia;;Pernoctaciones;2021M05;.
Total;África;Somalia;;Pernoctaciones;2021M04;.
Total;África;Somalia;;Pernoctaciones;2021M03;.
Total;África;Somalia;;Pernoctaciones;2021M02;.
Total;África;Somalia;;Pernoctaciones;2021M01;.
Total;África;Somalia;;Pernoctaciones;2020M12;.
Total;África;Somalia;;Pernoctaciones;2020M11;.
Total;África;Somalia;;Pernoctaciones;2020M10;.
Total;África;Somalia;;Pernoctaciones;2020M09;.
Total;África;Somalia;;Pernoctaciones;2020M08;.
Total;África;Somalia;;Pernoctaciones;2020M07;.
Total;África;Somalia;;Pernoctaciones;2020M06;.
Total;África;Somalia;;Pernoctaciones;2020M05;.
Total;África;Somalia;;Pernoctaciones;2020M04;.
Total;África;Somalia;;Pernoctaciones;2020M03;.
Total;África;Somalia;;Pernoctaciones;2020M02;.
Total;África;Somalia;;Pernoctaciones;2020M01;.
Total;África;Somalia;;Pernoctaciones;2019M12;.
Total;África;Somalia;;Pernoctaciones;2019M11;.
Total;África;Somalia;;Pernoctaciones;2019M10;.
Total;África;Somalia;;Pernoctaciones;2019M09;.
Total;África;Somalia;;Pernoctaciones;2019M08;.
Total;África;Somalia;;Pernoctaciones;2019M07;.
Total;África;Somalia;;Duración media de los viajes;2023M04;.
Total;África;Somalia;;Duración media de los viajes;2023M03;.
Total;África;Somalia;;Duración media de los viajes;2023M02;.
Total;África;Somalia;;Duración media de los viajes;2023M01;.
Total;África;Somalia;;Duración media de los viajes;2022M12;.
Total;África;Somalia;;Duración media de los viajes;2022M11;.
Total;África;Somalia;;Duración media de los viajes;2022M10;.
Total;África;Somalia;;Duración media de los viajes;2022M09;.
Total;África;Somalia;;Duración media de los viajes;2022M08;.
Total;África;Somalia;;Duración media de los viajes;2022M07;.
Total;África;Somalia;;Duración media de los viajes;2022M06;.
Total;África;Somalia;;Duración media de los viajes;2022M05;.
Total;África;Somalia;;Duración media de los viajes;2022M04;.
Total;África;Somalia;;Duración media de los viajes;2022M03;.
Total;África;Somalia;;Duración media de los viajes;2022M02;.
Total;África;Somalia;;Duración media de los viajes;2022M01;.
Total;África;Somalia;;Duración media de los viajes;2021M12;.
Total;África;Somalia;;Duración media de los viajes;2021M11;.
Total;África;Somalia;;Duración media de los viajes;2021M10;.
Total;África;Somalia;;Duración media de los viajes;2021M09;.
Total;África;Somalia;;Duración media de los viajes;2021M08;.
Total;África;Somalia;;Duración media de los viajes;2021M07;.
Total;África;Somalia;;Duración media de los viajes;2021M06;.
Total;África;Somalia;;Duración media de los viajes;2021M05;.
Total;África;Somalia;;Duración media de los viajes;2021M04;.
Total;África;Somalia;;Duración media de los viajes;2021M03;.
Total;África;Somalia;;Duración media de los viajes;2021M02;.
Total;África;Somalia;;Duración media de los viajes;2021M01;.
Total;África;Somalia;;Duración media de los viajes;2020M12;.
Total;África;Somalia;;Duración media de los viajes;2020M11;.
Total;África;Somalia;;Duración media de los viajes;2020M10;.
Total;África;Somalia;;Duración media de los viajes;2020M09;.
Total;África;Somalia;;Duración media de los viajes;2020M08;.
Total;África;Somalia;;Duración media de los viajes;2020M07;.
Total;África;Somalia;;Duración media de los viajes;2020M06;.
Total;África;Somalia;;Duración media de los viajes;2020M05;.
Total;África;Somalia;;Duración media de los viajes;2020M04;.
Total;África;Somalia;;Duración media de los viajes;2020M03;.
Total;África;Somalia;;Duración media de los viajes;2020M02;.
Total;África;Somalia;;Duración media de los viajes;2020M01;.
Total;África;Somalia;;Duración media de los viajes;2019M12;.
Total;África;Somalia;;Duración media de los viajes;2019M11;.
Total;África;Somalia;;Duración media de los viajes;2019M10;.
Total;África;Somalia;;Duración media de los viajes;2019M09;.
Total;África;Somalia;;Duración media de los viajes;2019M08;.
Total;África;Somalia;;Duración media de los viajes;2019M07;.
Total;África;Sudáfrica;;Turistas;2023M04;430
Total;África;Sudáfrica;;Turistas;2023M03;585
Total;África;Sudáfrica;;Turistas;2023M02;527
Total;África;Sudáfrica;;Turistas;2023M01;516
Total;África;Sudáfrica;;Turistas;2022M12;483
