Continente y país de destino;Continente y país de destino;Continente y país de destino;Continente y país de destino;Concepto turístico;Periodo;Total
Total;Europa;;;Pernoctaciones;2019M11;5.616.383
Total;Europa;;;Pernoctaciones;2019M10;6.594.674
Total;Europa;;;Pernoctaciones;2019M09;10.321.377
Total;Europa;;;Pernoctaciones;2019M08;18.677.404
Total;Europa;;;Pernoctaciones;2019M07;10.512.620
Total;Europa;;;Duración media de los viajes;2023M04;3,6
Total;Europa;;;Duración media de los viajes;2023M03;3,4
Total;Europa;;;Duración media de los viajes;2023M02;3,4
Total;Europa;;;Duración media de los viajes;2023M01;4
Total;Europa;;;Duración media de los viajes;2022M12;3,8
Total;Europa;;;Duración media de los viajes;2022M11;3,4
Total;Europa;;;Duración media de los viajes;2022M10;3,7
Total;Europa;;;Duración media de los viajes;2022M09;4,2
Total;Europa;;;Duración media de los viajes;2022M08;5,4
Total;Europa;;;Duración media de los viajes;2022M07;4,5
Total;Europa;;;Duración media de los viajes;2022M06;3,7
Total;Europa;;;Duración media de los viajes;2022M05;3,4
Total;Europa;;;Duración media de los viajes;2022M04;3,8
Total;Europa;;;Duración media de los viajes;2022M03;3,4
Total;Europa;;;Duración media de los viajes;2022M02;3,3
Total;Europa;;;Duración media de los viajes;2022M01;4,1
Total;Europa;;;Duración media de los viajes;2021M12;4
Total;Europa;;;Duración media de los viajes;2021M11;3,4
Total;Europa;;;Duración media de los viajes;2021M10;3,7
Total;Europa;;;Duración media de los viajes;2021M09;4,3
Total;Europa;;;Duración media de los viajes;2021M08;5,4
Total;Europa;;;Duración media de los viajes;2021M07;4,3
Total;Europa;;;Duración media de los viajes;2021M06;3,5
Total;Europa;;;Duración media de los viajes;2021M05;3,1
Total;Europa;;;Duración media de los viajes;2021M04;3,7
Total;Europa;;;Duración media de los viajes;2021M03;3,5
Total;Europa;;;Duración media de los viajes;2021M02;3,5
Total;Europa;;;Duración media de los viajes;2021M01;4
Total;Europa;;;Duración media de los viajes;2020M12;5,1
Total;Europa;;;Duración media de los viajes;2020M11;4,6
Total;Europa;;;Duración media de los viajes;2020M10;4,3
Total;Europa;;;Duración media de los viajes;2020M09;4,2
Total;Europa;;;Duración media de los viajes;2020M08;6,6
Total;Europa;;;Duración media de los viajes;2020M07;5
Total;Europa;;;Duración media de los viajes;2020M06;4
Total;Europa;;;Duración media de los viajes;2020M05;4,2
Total;Europa;;;Duración media de los viajes;2020M04;4,6
Total;Europa;;;Duración media de los viajes;2020M03;4,2
Total;Europa;;;Duración media de los viajes;2020M02;3,9
Total;Europa;;;Duración media de los viajes;2020M01;4,6
Total;Europa;;;Duración media de los viajes;2019M12;4,2
Total;Europa;;;Duración media de los viajes;2019M11;3,8
Total;Europa;;;Duración media de los viajes;2019M10;4,3
Total;Europa;;;Duración media de los viajes;2019M09;4,9
Total;Europa;;;Duración media de los viajes;2019M08;6,9
Total;Europa;;;Duración media de los viajes;2019M07;5,4
Total;Europa;Albania;;Turistas;2023M04;1.612
Total;Europa;Albania;;Turistas;2023M03;771
Total;Europa;Albania;;Turistas;2023M02;617
Total;Europa;Albania;;Turistas;2023M01;748
Total;Europa;Albania;;Turistas;2022M12;872
Total;Europa;Albania;;Turistas;2022M11;661
Total;Europa;Albania;;Turistas;2022M10;904
Total;Europa;Albania;;Turistas;2022M09;2.411
Total;Europa;Albania;;Turistas;2022M08;3.409
Total;Europa;Albania;;Turistas;2022M07;2.276
Total;Europa;Albania;;Turistas;2022M06;1.323
Total;Europa;Albania;;Turistas;2022M05;901
Total;Europa;Albania;;Turistas;2022M04;870
Total;Europa;Albania;;Turistas;2022M03;571
Total;Europa;Albania;;Turistas;2022M02;437
Total;Europa;Albania;;Turistas;2022M01;492
Total;Europa;Albania;;Turistas;2021M12;621
Total;Europa;Albania;;Turistas;2021M11;428
Total;Europa;Albania;;Turistas;2021M10;653
Total;Europa;Albania;;Turistas;2021M09;788
Total;Europa;Albania;;Turistas;2021M08;1.368
Total;Europa;Albania;;Turistas;2021M07;640
Total;Europa;Albania;;Turistas;2021M06;282
Total;Europa;Albania;;Turistas;2021M05;228
Total;Europa;Albania;;Turistas;2021M04;153
Total;Europa;Albania;;Turistas;2021M03;137
Total;Europa;Albania;;Turistas;2021M02;118
Total;Europa;Albania;;Turistas;2021M01;214
Total;Europa;Albania;;Turistas;2020M12;262
